M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
-0.444974 0.710272 
-0.00914179 1.60132 
-0.437108 1.45622 
-0.846196 1.39945 
-0.686486 0.375956 
-1.06939 0.933098 
-1.31342 -0.770558 
-1.16735 -1.55838 
-0.775809 -0.707049 
-1.00597 -0.319061 
-0.241306 -0.625789 
-0.679092 0.536153 
-0.46378 1.99687 
-1.23687 0.274368 
-0.687984 1.17394 
-0.374914 2.0262 
-0.406752 1.79938 
-1.46474 0.842569 
-0.905542 0.405329 
-1.39292 -0.57982 
-0.637105 0.0816428 
-0.810553 0.699804 
0.0287785 0.31843 
0.501372 1.28792 
-0.672004 -0.415132 
-0.110912 1.04846 
-0.795001 1.37504 
0.11664 0.152976 
-0.428456 2.33888 
-0.179852 1.63249 
-0.642938 1.42951 
-0.316975 1.2449 
-0.52055 0.616818 
-0.521405 2.59388 
-0.91608 1.59326 
-1.32388 -0.598081 
-0.750251 0.419904 
-1.21315 1.16329 
-0.795451 0.392502 
0.0615926 1.35099 
-0.260615 1.89232 
-0.688311 0.246875 
-1.43674 -0.566977 
-0.156156 0.392161 
-1.77152 -1.98406 
-1.06148 -0.238339 
-0.624719 1.79151 
-1.52324 0.74447 
-1.336 0.405396 
-0.298051 1.74841 
0.542889 1.83886 
-0.0929015 1.53858 
-0.166385 1.92405 
-0.469643 0.335382 
0.0362215 0.428035 
-0.601346 -0.332632 
-0.330476 4.63475 
-1.04191 0.93195 
-0.417801 1.91546 
-0.444181 1.28819 
-0.712344 2.38992 
-0.00580204 1.19828 
-0.847988 -0.325982 
-0.878723 2.38268 
-0.279683 -0.0534921 
-0.667357 0.52347 
-1.22991 -0.242801 
-0.561575 0.253265 
-0.44414 3.63793 
-1.24736 1.76724 
-0.938 0.380827 
-0.785137 0.69386 
-0.373705 0.459372 
-0.159636 -0.0775932 
-0.615466 0.310124 
-0.454795 2.35741 
-0.61402 1.20356 
-0.235794 0.221204 
-0.158917 0.285441 
3.43851 2.98643 
1.20725 3.44015 
0.587623 2.94318 
1.20134 4.57706 
0.564789 1.85808 
-0.194514 1.53683 
1.61011 3.58634 
-0.137479 3.01166 
-0.491899 0.945943 
-0.275232 0.051222 
-0.209356 1.75066 
-0.718553 1.03084 
-0.678829 1.0119 
-1.05568 -0.40005 
-1.87436 0.0403974 
-0.910351 0.759943 
1.49717 4.20212 
0.465582 3.53071 
0.111053 1.47306 
1.06162 1.81695 
-0.434059 -0.306269 
-0.278651 -0.422334 
0.926192 1.58982 
3.31824 2.37022 
2.27431 1.86951 
1.85236 1.62351 
0.863555 0.625555 
-0.0706509 0.571796 
0.16374 0.627875 
-0.0804543 1.63713 
